model,task,precision,perturbation_mode,layer,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,relative_disp_layer
roberta-large,sst-5,int4,dense,roberta.encoder.layer.22.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.22.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.017543859649122806,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.22.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.22.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.22.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.033625730994152045,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.23.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.23.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.03654970760233918,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.23.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.033625730994152045,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.23.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.23.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.23.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.038011695906432746,0.0,0.0,1.0,0.0,0.0,0.0
