model,task,precision,perturbation_mode,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,disp_rms,relative_disp,locality_proxy
roberta-large,sst-5,int8,sparse_p0p1,0.001,0.04475263447487278,0.08106919859511492,1.0183976051572086,0.9781965311317637,0.007926243533426058,0.1842698399991995,0.0,0.918930801404885,0.03232536497993736,0.04874383361517756,0.00034142200484231695,0.007958536028057317,135.71662326069838
roberta-large,sst-5,int8,sparse_p0p1,0.003,0.006983507709858251,0.09375343966699021,0.9988362091078598,0.9965047296462737,0.008035687483114362,0.5542347929195394,0.0,0.9062465603330098,0.012392807468705285,0.08136063219828492,0.0009558703662012949,0.02228130770621751,926.5389368657222
roberta-large,sst-5,int8,sparse_p0p1,0.01,0.003374463125992114,0.09812556910853838,0.9944455439285319,0.9983196247655843,0.008579154867566567,1.8392162062099122,0.0,0.9018744308914616,0.003852427029028288,0.0942731420795101,0.003149931611498291,0.07342480525707078,9833.5457985137
roberta-large,sst-5,int8,sparse_p0p1,0.03,0.009065202265882952,0.09926191000330208,0.97256825725268,0.9957273944760079,0.013335276224021133,5.412572420624993,0.0,0.9007380899966979,0.0012883116363308885,0.0979735983669712,0.009266610650370762,0.21600439829007384,81836.03649906859
roberta-large,sst-5,int8,sparse_p0p1,0.1,0.13614068474192037,0.09991106897345328,0.7404238504934902,0.9535785493214628,0.04878135725507069,14.086849715320652,0.0,0.9000889310265467,0.0003871188848974854,0.09952395008855579,0.02404333203851004,0.5604493018878507,333783.5750729696
roberta-large,trec,int8,dense,1e-07,12933.809939390707,0.000532835686482484,113.7258761736907,0.019597740947097018,0.007879964377557861,0.000532835686482484,0.0,0.9994671643135176,0.000532835686482484,0.0,1.6087697181130363e-05,0.0003750037074606069,66980.60028256869
roberta-large,trec,int8,dense,1e-06,456.2716870801528,0.002146977595885408,21.38510822459268,0.05149636327079309,0.007883091347548957,0.002146977595885408,0.0,0.9978530224041146,0.002146977595885408,0.0,3.0246944257810636e-05,0.0007050553045800389,8369.858554457714
roberta-large,trec,int8,dense,1e-05,36.67915961144614,0.018394088275613635,6.1357754229591315,0.16051095666507578,0.007886843711538269,0.018394088275613635,0.0,0.9816059117243864,0.018394088275613635,0.0,8.670873281270547e-05,0.002021177792438474,5646.267758237656
roberta-large,trec,int8,dense,0.0001,2.7953943028416917,0.18358690975314448,1.9445453358009799,0.5106248456629241,0.007927494321422496,0.1839058606922361,0.0,0.8164130902468555,0.18329047299798873,0.0002964367551557481,0.0002747539598679208,0.006404506029042106,5691.656892431964
roberta-large,trec,int8,dense,0.001,0.0447104134335378,0.8127107577773998,1.0180452717729045,0.9782006113286481,0.008335876602259424,1.8447853397640515,1.0,0.18728924222260024,0.322934698860282,0.4897760589171178,0.001078276364472153,0.025134587616335947,13501.375767475263
roberta-large,trec,int8,dense,0.003,0.006924358662838964,0.9361579044798223,0.9988029390191786,0.9965343736874875,0.00943094149314068,5.5343335051082185,4.0,0.06384209552017771,0.1250631647938201,0.8110947396860022,0.0030186613572410715,0.07036489982302933,92144.56668779143
roberta-large,trec,int8,dense,0.01,0.0033832340448946806,0.9807278585508871,0.9943596781908768,0.9983147633491746,0.014993821107297597,18.418965823468785,14.0,0.01927214144911294,0.03812151655542992,0.9426063419954571,0.009967575127441486,0.23234385786220124,985857.833032246
roberta-large,trec,int8,dense,0.03,0.008974264905551733,0.9935528132723616,0.9727121155555714,0.9957698702713218,0.06255440927784504,54.115792324164225,43.0,0.006447186727638412,0.012850595875401502,0.9807022173969601,0.029314201484135237,0.6833131003169186,8194582.946409833
roberta-large,trec,int8,dense,0.1,0.13525584016457803,0.997999989993696,0.7414879369930717,0.9538587125820648,0.4147800614387064,140.60366718532674,138.0,0.0020000100063039716,0.003918718792839489,0.9940812712008565,0.07598831648904494,1.7712852303377098,33299936.25121359
roberta-large,trec,int8,sparse_p0p1,1e-07,11143.19208538403,5.128230785394799e-05,103.5330008492399,0.018026529810339614,0.007879964377557861,5.128230785394799e-05,0.0,0.9999487176921461,5.128230785394799e-05,0.0,4.732597483387321e-06,0.00011031669618139128,579.3907810996444
roberta-large,trec,int8,sparse_p0p1,1e-06,415.3109936078934,0.00019262135145141438,20.366860699047304,0.048321859138160575,0.007879964377557861,0.00019262135145141438,0.0,0.9998073786485486,0.00019262135145141438,0.0,9.1230850689597e-06,0.00021265882157150428,70.17051093524103
roberta-large,trec,int8,sparse_p0p1,1e-05,36.972258392479795,0.0018305282327866555,6.15816019921092,0.16101698264192643,0.0078812151655543,0.0018305282327866555,0.0,0.9981694717672134,0.0018305282327866555,0.0,2.7589438645585142e-05,0.0006431089336382216,58.11658911556718
roberta-large,trec,int8,sparse_p0p1,0.0001,2.7930114944833733,0.01823023504808029,1.9404956479286724,0.508305095256057,0.007884967529543612,0.018266507899976987,0.0,0.9817697649519197,0.018195212984180035,3.502206390025716e-05,8.662826352346615e-05,0.002019302055876447,56.27644658723645
roberta-large,trec,int8,sparse_p0p1,0.001,0.04475263447487278,0.08106919859511492,1.0183976051572086,0.9781965311317637,0.007926243533426058,0.1842698399991995,0.0,0.918930801404885,0.03232536497993736,0.04874383361517756,0.00034142200484231695,0.007958536028057317,135.71662326069838
roberta-large,trec,int8,sparse_p0p1,0.003,0.006983507709858251,0.09375343966699021,0.9988362091078598,0.9965047296462737,0.008035687483114362,0.5542347929195394,0.0,0.9062465603330098,0.012392807468705285,0.08136063219828492,0.0009558703662012949,0.02228130770621751,926.5389368657222
roberta-large,trec,int8,sparse_p0p1,0.01,0.003374463125992114,0.09812556910853838,0.9944455439285319,0.9983196247655843,0.008579154867566567,1.8392162062099122,0.0,0.9018744308914616,0.003852427029028288,0.0942731420795101,0.003149931611498291,0.07342480525707078,9833.5457985137
roberta-large,trec,int8,sparse_p0p1,0.03,0.009065202265882952,0.09926191000330208,0.97256825725268,0.9957273944760079,0.013335276224021133,5.412572420624993,0.0,0.9007380899966979,0.0012883116363308885,0.0979735983669712,0.009266610650370762,0.21600439829007384,81836.03649906859
roberta-large,trec,int8,sparse_p0p1,0.1,0.13614068474192037,0.09991106897345328,0.7404238504934902,0.9535785493214628,0.04878135725507069,14.086849715320652,0.0,0.9000889310265467,0.0003871188848974854,0.09952395008855579,0.02404333203851004,0.5604493018878507,333783.5750729696
facebook/opt-1.3b,sst-5,int8,dense,1e-07,4774.858760612735,0.0008351879172813884,69.11115589989593,0.025747503745908517,0.008211847665724787,0.0008351879172813884,0.0,0.9991648120827186,0.0008351879172813884,0.0,9.776215711267654e-06,0.0004669555165370594,9137.83597250099
