model,task,precision,perturbation_mode,layer,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,relative_disp_layer
roberta-large,sst-5,int8,dense,roberta.encoder.layer.22.attention.self.value.weight,0.0001,1.7369604888920436,0.22005113221329436,1.6194907441512358,0.5816613500346228,0.005113221329437546,0.2204163623082542,0.0,0.7799488677867056,0.21968590211833455,0.0003652300949598247,0.007294668427566015
roberta-large,sst-5,int8,dense,roberta.encoder.layer.22.attention.output.dense.weight,0.0001,1.4843628490889587,0.25639152666179693,1.570195086843293,0.6304958636835001,0.004382761139517896,0.25712198685171656,0.0,0.743608473338203,0.2556610664718773,0.0007304601899196494,0.008153555879408572
roberta-large,sst-5,int8,dense,roberta.encoder.layer.22.intermediate.dense.weight,0.0001,2.3099627769889968,0.206263696128561,1.8323829826404638,0.5591239052495791,0.006574141709276844,0.20635500365230094,0.0,0.793736303871439,0.20617238860482104,9.130752373995617e-05,0.007851954921936985
roberta-large,sst-5,int8,dense,roberta.encoder.layer.22.output.dense.weight,0.0001,2.0234252008237963,0.21785975164353544,1.7273995696320341,0.5671424546572528,0.010226442658875092,0.2179510591672754,0.0,0.7821402483564646,0.21776844411979548,9.130752373995617e-05,0.007342121971620402
roberta-large,sst-5,int8,dense,roberta.encoder.layer.23.attention.self.query.weight,0.0001,4.042457853951683,0.13020452885317751,2.2560741120814924,0.45475030796499294,0.003652300949598247,0.13020452885317751,0.0,0.8697954711468225,0.13020452885317751,0.0,0.006652619422725002
roberta-large,sst-5,int8,dense,roberta.encoder.layer.23.attention.self.key.weight,0.0001,3.905976398992192,0.13869612856099342,2.216967593343606,0.45331292177173294,0.008035062089116142,0.13869612856099342,0.0,0.8613038714390066,0.13869612856099342,0.0,0.006637327688036902
roberta-large,sst-5,int8,dense,roberta.encoder.layer.23.attention.self.value.weight,0.0001,2.053215473584271,0.2101899196493791,1.7513419403357284,0.5744712051968508,0.013148283418553688,0.2101899196493791,0.0,0.789810080350621,0.2101899196493791,0.0,0.007058927359046864
roberta-large,sst-5,int8,dense,roberta.encoder.layer.23.attention.output.dense.weight,0.0001,1.7201304090785805,0.24552593133674214,1.660975808753882,0.6135855996385213,0.006574141709276844,0.24634769905040174,0.0,0.7544740686632578,0.24470416362308253,0.0008217677136596055,0.008011051870647733
roberta-large,sst-5,int8,dense,roberta.encoder.layer.23.intermediate.dense.weight,0.0001,2.0488316728694964,0.24114317019722425,1.7724932059365075,0.5901936199475406,0.008035062089116142,0.24132578524470416,0.0,0.7588568298027758,0.24096055514974435,0.00018261504747991235,0.008156033441375605
roberta-large,sst-5,int8,dense,roberta.encoder.layer.23.output.dense.weight,0.0001,1.9356307725303574,0.247899926953981,1.7322780849655757,0.5957275999413019,0.008765522279035792,0.24890430971512054,0.0,0.752100073046019,0.2468955441928415,0.0010043827611395178,0.007610264978998644
roberta-large,sst-5,int8,dense,lm_head.dense.weight,0.0001,5.624450083778766,0.10171658144631118,2.583326650374512,0.3971354491776618,0.010226442658875092,0.10171658144631118,0.0,0.8982834185536889,0.10171658144631118,0.0,0.004609880414986103
roberta-large,sst-5,int8,dense,lm_head.decoder.weight,0.0001,7.195204853085302,0.06674579985390797,2.8350291735849575,0.3273387013019133,0.009587289992695399,0.06683710737764792,0.0,0.9332542001460921,0.066654492330168,9.130752373995617e-05,0.0029262344380252764
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.attention.self.query.weight,0.001,0.033609494186078726,0.8279766252739226,1.016135981658272,0.9835893631161937,0.007121986851716581,1.9401935719503287,2.0,0.17202337472607743,0.30432797662527394,0.5236486486486487,0.02800967511258306
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.attention.self.key.weight,0.001,0.026293385916088704,0.8467859751643535,1.0102812137729693,0.9870431862220244,0.006026296566837107,2.138970051132213,2.0,0.15321402483564645,0.27383126369612854,0.572954711468225,0.030960116502754487
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.attention.self.value.weight,0.001,0.025075278933772278,0.8539992695398101,1.0066957551628062,0.9875690943450862,0.010226442658875092,2.2282688093498906,2.0,0.1460007304601899,0.2723703433162893,0.5816289262235208,0.03204818786288094
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.attention.output.dense.weight,0.001,0.024926823072848037,0.8621256391526662,1.0047968108558734,0.987594542380419,0.010865595325054784,2.4942476260043827,2.0,0.13787436084733382,0.24817384952520088,0.6139517896274653,0.02872641680772336
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.intermediate.dense.weight,0.001,0.06341912581244398,0.7641526661796932,1.0239661839891987,0.9692943877465834,0.007030679327976626,1.3889700511322134,1.0,0.2358473338203068,0.3814828341855369,0.38266983199415633,0.021982232673847375
