model,task,precision,mode,quantizer,h,true_directional_nmse,corr_dq_dstar,sign_agreement,active_frac,norm_ratio,visible_direction_cos,num_sources
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,1e-05,0.03956363540274555,0.9804537409122955,,,,,2
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,3e-05,0.00344147692749575,0.9982631504648102,,,,,2
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.0001,0.0003433416192875,0.9998345060085059,,,,,2
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.0003,3.372210748380219e-05,0.9999833343199337,,,,,2
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.001,3.498381891849634e-06,0.9999983718804129,,,,,2
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.003,3.593877476797603e-07,0.9999998278247286,,,,,2
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.01,4.947328850117983e-06,0.9999976308532663,,,,,2
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.03,3.8784643475613586e-05,0.9999806736800303,,,,,2
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.1,0.00313239131365785,0.9984660680547766,,,,,2
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,0.3,0.0303323359521567,0.9850850765093684,,,,,1
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,1.0,2.108969858366942,-0.0953495297862063,,,,,1
