group,model,dataset,seed,L_mode,h2,m_L,lambda_q50,lambda_q90,lambda_q95,median_abs_K,MAD_K,SNR2,finite_rate,zero_K_frac,stability_q90_2x,stability_q90_next,stability_q90_prev,log_slope_q90_next,log_slope_q90_prev,low_h2_noise_suspected,large_h2_nonlocal_suspected,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error
A_seed,roberta-large,sst-5,16,L_oracle_precision,0.005,16,5.929645610218874e-06,1.5353986996362126e-05,1.7492014504010902e-05,2418.8232421875,2420.95947265625,0.6738955955642874,1.0,0.0,0.5970014625084178,0.5970014625084178,0.7269280563971329,1.3111534917605967,2.448397620912427,False,True,0.9999971544312937,1.0000032641661383,0.0022503902074447356,2.3914685073283738e-05
A_seed,roberta-large,sst-5,16,L_oracle_precision,0.01,16,2.562607345558329e-06,6.1876337071972454e-06,8.415866789281611e-06,1045.4177856445312,1045.4177856445312,0.6744907594765948,1.0,0.0,nan,nan,1.4813985832911065,nan,1.3111534917605967,False,False,0.999999313099784,1.0000010075202297,0.0011262982121441343,2.3794458476851308e-05
A_seed,roberta-large,sst-5,17,L_clean32,1e-05,16,1.8994517432693654e-05,4.6754941904685216e-05,8.328563190869189e-05,7748.603820800779,5960.464477539062,0.8768379873195735,1.0,0.125,nan,3.007134985364834,nan,1.263481696675449,nan,False,False,1.0000000037013486,0.9999999930876429,0.00013678544429905257,3.1118907971594836e-09
A_seed,roberta-large,sst-5,17,L_clean32,3e-05,16,2.2404367731742566e-05,0.00018735336645209945,0.0003179571246945929,9139.378865559895,5761.782328287761,1.069881894342185,1.0,0.0,nan,0.6085806558645452,0.7504451425638825,0.7790672670840824,1.263481696675449,True,False,0.9999999970473619,0.999999997402967,4.549464266570102e-05,3.111761990745654e-09
A_seed,roberta-large,sst-5,17,L_clean32,0.0001,16,2.1770845344471123e-05,7.333373120966963e-05,7.737237713370947e-05,8881.092071533203,6365.776062011719,0.9410030258615417,1.0,0.0,nan,0.6184972249720384,1.5548047509219152,0.8771403380716772,0.7790672670840824,False,False,1.0000000065806507,0.9999999960739725,1.3864847185581387e-05,3.1083755032520467e-09
A_seed,roberta-large,sst-5,17,L_clean32,0.0003,16,1.141835357163965e-05,2.797702134114638e-05,3.081827277460076e-05,4658.434126112197,2251.731024848091,1.395402353575991,1.0,0.0,nan,0.07437526463876871,1.6212129123482957,0.06419279537312698,0.8771403380716772,False,False,1.0000000031571017,1.0000000003876852,4.651440511782299e-06,3.089040967714791e-09
A_seed,roberta-large,sst-5,17,L_clean32,0.001,16,1.1689706781553645e-05,2.5896222900718873e-05,3.0472377145901846e-05,4768.788814544678,2698.1234550476074,1.1921263214581028,1.0,0.0,0.07253774985537836,0.003978049086279584,0.08035142298757096,0.009830642614337175,0.06419279537312698,False,False,0.999999998757267,0.9999999981424382,1.4279125681755937e-06,3.0369512578269686e-09
A_seed,roberta-large,sst-5,17,L_clean32,0.0015,16,1.0527320097595863e-05,2.5793206450892526e-05,3.203967889365962e-05,4294.421937730577,3397.226333618164,0.8526214122471857,1.0,0.0,0.09942572820281553,0.06883352390597836,0.003993937164366953,0.2479028422012572,0.009830642614337175,False,False,1.0000000007971055,0.9999999999811695,9.462218906708656e-07,3.009366762910176e-09
A_seed,roberta-large,sst-5,17,L_clean32,0.002,16,9.91353760739374e-06,2.4017769089209657e-05,3.049379353508252e-05,4043.9963340759277,3957.584500312805,0.6892179202935144,1.0,0.0,0.03540985713145642,0.03285363582370659,0.07392182351185515,0.0823879423663353,0.2479028422012572,False,False,0.9999999985226469,0.9999999988842451,7.323414244505727e-07,2.9894248138444095e-09
A_seed,roberta-large,sst-5,17,L_clean32,0.003,16,9.205746812828884e-06,2.322869801740125e-05,2.5259631704533656e-05,3755.278057522244,2894.2757182651094,0.8751413464444381,1.0,0.0,nan,0.07058238078918094,0.03396966275284261,0.23707692640246314,0.0823879423663353,False,False,0.99999999887996,0.9999999995967463,5.00075817867504e-07,2.954885781690122e-09
A_seed,roberta-large,sst-5,17,L_clean32,0.004,16,1.2143862013000475e-05,2.4868234896684738e-05,2.966093514484624e-05,4954.129457473755,4873.577505350113,0.6856389452406573,1.0,0.0,nan,0.4125525521079338,0.06592895797252993,1.5478752863092002,0.23707692640246314,False,False,0.9999999985564374,0.9999999981181795,3.775082154489981e-07,2.934841871670157e-09
A_seed,roberta-large,sst-5,17,L_clean32,0.005,16,7.590221983530429e-06,3.512768908228416e-05,4.700944133851934e-05,3096.33731842041,3096.33731842041,0.6744907594765951,1.0,0.0,0.6806553942763893,0.6806553942763893,0.29206173709593103,1.646814013756065,1.5478752863092002,False,True,0.9999999992079176,1.0000000007049046,3.0703184405835727e-07,2.917432528786253e-09
A_seed,roberta-large,sst-5,17,L_clean32,0.01,16,3.4329436203434677e-06,1.1217837339308223e-05,1.2592505620845273e-05,1400.4266262054443,1198.4449625015259,0.7881670400023505,1.0,0.0,nan,nan,2.131413470204314,nan,1.646814013756065,False,True,0.9999999964020638,1.0000000009382146,1.893669457365916e-07,2.9306024475625466e-09
