d,Delta,G,L,n_dirs,h,A_true,envelope,rho_theory,rho_emp,vector_radius_error,V_dir,h_ref,W1_low,W1_high,W01_low,W01_high
1000,0.0001,1.0,0.1,256,1.0,2519.1106261824307,40080.02001999252,40200.11988012241,2535.1081120106596,2537643.2201226703,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,1.0,256,1e-08,1.1181129428434984,25000000.200199895,25074925.074925076,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,3e-08,1.1181129428434984,2777777.9779776824,2786102.786102791,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,1e-07,1.1181129428434984,250000.20019994024,250749.250749291,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,3e-07,1.1181129428434984,27777.9779780386,27861.02786138967,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,1e-06,1.1181129428434984,2500.2002039081,2507.49251151252,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,3e-06,1.1181129428434984,277.9780137498777,278.61031479038655,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,1e-05,1.1181129428434984,25.200600700099873,25.075327076123877,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,3e-05,0.7302017732360828,2.9815848778776526,2.7897207968919973,0.7385891349272729,739.3277240622001,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,0.0001,0.08672373066592626,0.4902799000998752,0.29094937062937065,0.08747486674402766,87.56234161077168,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,0.0003,0.031768532806340954,0.5886976778776529,0.3896621067821068,0.03184980269242289,31.881652495115315,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,0.001,0.25465749071088306,4.2106999000998755,4.022519480519481,0.25618352020866125,256.4397037288699,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,0.003,2.2660490853567348,36.27247767787765,36.180386502386504,2.280514726259978,2282.7952409862382,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,0.01,25.193858217936807,401.0002249000999,402.00122387612385,25.353972195774446,25379.32616797022,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,0.03,226.71996056479318,3607.4002026778776,3618.010791996892,228.1596774758672,228387.83715334308,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,0.1,2519.1097874232264,40080.2002001501,40200.11988037063,2535.1069870222336,2537642.094009256,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,0.3,22671.999690123153,360720.2001999279,361801.07892110676,22815.977986126723,22838793.96411285,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,1.0,1.0,256,1.0,251911.09092945355,4008000.2001999025,4020011.9880119907,253510.83983904647,253764350.67888552,1001.0,0.00015803492474010034,5.0331810942796275e-05,0.0004962078051591291,,
1000,0.0001,10.0,0.1,256,1e-08,111.81129428434984,2500000000.2001996,25074925.074925076,1.1235440567995765,112466.76008563761,100100.0,0.0015803492474010033,5.007489425950746e-05,0.04987536730131598,0.00015835862204082859,0.01577118891017563
1000,0.0001,10.0,0.1,256,3e-08,111.81129428434984,277777777.9779777,2786102.786102787,1.1235440567995765,112466.76008563761,100100.0,0.0015803492474010033,5.007489425950746e-05,0.04987536730131598,0.00015835862204082859,0.01577118891017563
1000,0.0001,10.0,0.1,256,1e-07,111.81129428434984,25000000.200199902,250749.25074925082,1.1235440567995765,112466.76008563761,100100.0,0.0015803492474010033,5.007489425950746e-05,0.04987536730131598,0.00015835862204082859,0.01577118891017563
1000,0.0001,10.0,0.1,256,3e-07,111.81129428434984,2777777.977977682,27861.027861027906,1.1235440567995765,112466.76008563761,100100.0,0.0015803492474010033,5.007489425950746e-05,0.04987536730131598,0.00015835862204082859,0.01577118891017563
1000,0.0001,10.0,0.1,256,1e-06,111.81129428434984,250000.20019994018,2507.49250749291,1.1235440567995765,112466.76008563761,100100.0,0.0015803492474010033,5.007489425950746e-05,0.04987536730131598,0.00015835862204082859,0.01577118891017563
1000,0.0001,10.0,0.1,256,3e-06,111.81129428434984,27777.977978038594,278.6102786138967,1.1235440567995765,112466.76008563761,100100.0,0.0015803492474010033,5.007489425950746e-05,0.04987536730131598,0.00015835862204082859,0.01577118891017563
