group,model,dataset,seed,h3,m_T3,S3_sq,S3_rms,T3_abs_mean,T3_abs_median,rho3_q50,rho3_q90,rho3_q95,finite_rate,zero_T3_frac,sign_negative_frac,S3_sq_stability_2x,S3_sq_stability_next,rho3_q90_stability_2x,rho3_q90_stability_next,log_slope_S3_next,log_slope_rho_next,low_h3_noise_suspected,large_h3_nonlocal_suspected,source_output_dir
A_seed,roberta-large,sst-5,18,0.0015,16,6636016602944.864,2576046.7004588377,1866989.6655612523,1130625.053688332,1.372258331795055e-07,5.504849307260966e-07,6.042709171645925e-07,1.0,0.0,0.375,0.5527834270483856,0.3981004970239846,0.44024458391265364,0.2749859796877439,1.7646730012077867,1.1177765900119225,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,18,0.002,16,3994215095053.1,1998553.2504922405,1638921.9090342522,1239009.2015266418,1.5036777479787734e-07,3.991090177610614e-07,4.207377110914846e-07,1.0,0.0,0.4375,0.25186627418218055,0.25699129050545966,0.2553160446073937,0.22793849442212802,0.7326093079962566,0.6380106611398336,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,18,0.003,16,2967736603219.0166,1722711.9907921394,1474375.3881366164,1737893.7315057823,2.109553747911033e-07,3.081364812038163e-07,3.3836479146440597e-07,1.0,0.0,0.375,nan,0.006897653093145564,nan,0.03546032276894077,0.02389433951849643,0.1255007291846104,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,18,0.004,16,2988207020779.8516,1728643.1155041377,1458835.555240512,1532189.0823543072,1.859453152372211e-07,2.9720982666312055e-07,3.5203217381054605e-07,1.0,0.0,0.375,nan,0.43051652962969494,nan,0.10360656164431381,2.5231538980664183,0.490159166302912,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,18,0.005,16,1701734504378.62,1304505.4635296166,956468.0159091947,719768.0473327636,8.735617820238788e-08,2.664168348290905e-07,3.3847979875046707e-07,1.0,0.0,0.375,0.9667551350277038,0.9667551350277038,0.8475458413665318,0.8475458413665318,4.91072467175091,2.7135525902723843,True,True,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,18,0.01,16,56573933816.76454,237852.75658853428,215742.1857118606,204323.3513832092,2.4797475359280416e-08,4.061550685381933e-08,4.2756083462820826e-08,1.0,0.0,0.6875,nan,nan,nan,nan,nan,nan,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,1e-05,16,4.238831508018845e+17,651063092.7966079,517815351.4862059,417232513.42773426,5.0644399564688205e-05,0.00012297589839752702,0.00016998724783457906,1.0,0.0625,0.5,nan,0.9981496930646184,nan,0.9607803353622276,5.727592716321328,2.947879832086136,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,3e-05,16,784313933720103.6,28005605.398207404,22213768.076013632,20972004.643192995,2.5450524504487272e-06,4.823072532899447e-06,5.961821248309619e-06,1.0,0.0625,0.5,nan,0.8608394205825243,nan,0.5544875349138262,1.638016039849725,0.6715517572873765,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,0.0001,16,109145581461689.28,10447276.269999241,7264316.082000731,4589557.647705077,5.570402413006338e-07,2.1487383789339135e-06,3.011211668201578e-06,1.0,0.0,0.3125,nan,0.6460124830798248,nan,0.42944705394875404,0.9452776380887559,0.5107801117594244,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,0.0003,16,38636173364432.09,6215800.2995939385,4770441.187752619,3617118.906091762,4.390108728331347e-07,1.225968582947069e-06,1.5391071657943486e-06,1.0,0.0,0.375,nan,0.7474619913921263,nan,0.5029582796609344,1.143043686294466,0.5806454344754355,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,0.001,16,9757102281682.25,3123636.0674192263,2369351.6850471497,2093315.1245117188,2.541000404860234e-07,6.093570305913779e-07,7.413914885242323e-07,1.0,0.0,0.5,0.6114705129783741,0.3591109685801111,0.40742265461708566,0.24279526030133677,1.0972558330200606,0.6859322654353184,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,0.0015,16,6253219830772.125,2500643.8832373004,1933390.3436307556,1906827.6440655743,2.3144341272615944e-07,4.6140778893723436e-07,5.648896249401742e-07,1.0,0.0,0.5625,0.6405039901943309,0.393764804866703,0.4089994128880182,0.21741463792377203,1.739723484198693,0.8521638888129727,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,0.002,16,3790921944319.5415,1947029.004488516,1604144.9271142483,1275170.5944538116,1.5477536671534255e-07,3.610907641555994e-07,4.1720120917863697e-07,1.0,0.0,0.625,0.5159291070446791,0.40700240980462327,0.25767681480713567,0.24481006705257644,1.2888037300727193,0.6925034705527736,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,0.003,16,2248007577600.2603,1499335.7121072854,1364379.2933887905,1314653.2906426322,1.5957183668365552e-07,2.72691865160534e-07,2.8663731648862026e-07,1.0,0.0,0.5,nan,0.18368826288850076,nan,0.017037763869999844,0.7054974419142136,0.05973461044949522,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,0.004,16,1835074970710.682,1354649.390326029,1011545.7698702812,824414.6592915058,1.0005947490670678e-07,2.680457885148951e-07,3.086508331935189e-07,1.0,0.0,0.5,nan,0.24351419069777838,nan,0.030778647084878777,1.2506366535981046,0.13585194152671273,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,0.005,16,1388208174348.3208,1178222.463861694,889679.1040897367,598515.5105590819,7.263538075320744e-08,2.762959060208302e-07,3.040173281205533e-07,1.0,0.0,0.625,0.9806202875868446,0.9806202875868446,0.90304192427358,0.90304192427358,5.689309027855229,3.3664951230544045,True,True,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,19,0.01,16,26903075188.461792,164021.56927813424,123608.42898488042,110829.56194877623,1.3450151414022902e-08,2.6788216336943232e-08,3.5609588181076295e-08,1.0,0.0,0.3125,nan,nan,nan,nan,nan,nan,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,16,1e-05,16,1.776490621274717e+20,13328505622.442139,11445954442.024227,12010335922.241207,0.0014576386225728713,0.0022133884407817446,0.0025396930739658144,1.0,0.0,0.4375,nan,0.9936105562221313,nan,0.8973484706013365,4.599537172685753,2.072082444325332,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,16,3e-05,16,1.135078694654585e+18,1065400720.22436,826807485.686408,738435321.384006,8.961544339643464e-05,0.0002272077077022206,0.00023859951912830988,1.0,0.0,0.375,nan,0.993612129233202,nan,0.9346250427807901,4.197232911987114,2.265512976030244,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,16,0.0001,16,7250736011599199.0,85151253.72887471,70367008.44764706,69722533.22601317,8.461517597630849e-06,1.4853693236282396e-05,1.7134133931417666e-05,1.0,0.0,0.5,nan,0.9927022579580168,nan,0.9124900752782249,4.4785502025979405,2.2173455474563175,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,16,0.0003,16,52914001027169.38,7274201.057653643,6171288.313689057,5132622.188991971,6.22964583675014e-07,1.2998446644573381e-06,1.5464990747071225e-06,1.0,0.0,0.5625,nan,0.9453601696476064,nan,0.7520976344396932,2.414499860880474,1.1584317291701731,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,16,0.001,16,2891212039390.911,1700356.4448052975,1290308.3115816116,1084908.8430404663,1.316654356421549e-07,3.2223381508228286e-07,4.7104279800354054e-07,1.0,0.0,0.75,0.6568317804253346,0.4565126675941353,0.47516746740723653,0.3404004950588542,1.50382577425317,1.0262842116861366,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,16,0.0015,16,1571337118708.2861,1253529.8635087584,930671.8905766805,750343.0048624675,9.107148181943715e-08,2.1254492450307544e-07,3.003545501222151e-07,1.0,0.0,0.75,0.7191336059453279,0.36858101539265553,0.34965287210855417,0.20431636370073863,1.598242225909233,0.7944659603774963,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,16,0.002,16,992172087970.6163,996078.3543329391,742002.3903250694,577038.1540060043,7.003861555184839e-08,1.6911831408919534e-07,2.403093877485004e-07,1.0,0.0,0.75,0.1372556668139208,0.5551822151351179,0.2175452623087117,0.18265614847099057,1.9979291354218813,0.4974420677034051,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,16,0.003,16,441335790375.8545,664331.0849086128,481287.70733321155,261097.04264888057,3.1686354402185144e-08,1.382276315456072e-07,1.5508058880041498e-07,1.0,0.0,0.5625,nan,1.556677600378262,nan,0.4896365342824117,3.2630069550432648,1.3853214768659199,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,16,0.004,16,1128353329499.1833,1062239.7702492517,922291.5978170931,893979.799002409,1.0848685856576561e-07,2.0590941963419875e-07,2.0667346371233337e-07,1.0,0.0,0.5625,nan,0.030249660377249212,nan,0.14603044448003555,0.13355152506271267,0.7074357926695353,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
B_task,roberta-large,rte,16,0.005,16,1162485634502.072,1078186.2707816642,891218.5877561567,838509.3212127684,1.0175387537106532e-07,1.7584022953194606e-07,2.1148060726403602e-07,1.0,0.0,0.4375,0.9616360140816153,0.9616360140816153,0.7423764690141272,0.7423764690141272,4.704103569367909,1.956663721597119,True,True,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
