task,h,visibility_mse,active_frac,alignment,norm_ratio,Q_term,C_term,bound_proxy,fd_nmse,corr,G,L,d
rte,0.007,0.16313760634681457,0.06454131113030885,0.9248291739445356,1.06064745127544,142.72746530812958,58658.35962118443,64588.023750346554,1.2868147565591375,0.1549010965997761,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.01,0.08638254471131533,0.07393284871915787,0.9580322518016824,1.0229039578166566,75.57522713249588,103559.28872268327,109230.04643724063,1.7006365012786244,-0.04040360088519588,29.57854002453573,0.0004323457990226267,35568337.0
mnli,0.0001,40.930451760679304,0.0011168292089307134,0.12818951591116906,6.448543320057694,9580.463659723215,7611.54001871902,34270.88918585946,25.619494082271732,-0.29139073335640175,15.299244840277101,0.000294987668128699,35561425.0
mnli,0.0002,20.29910970688194,0.002255186868221763,0.18255440268424053,4.57942078841152,4751.349533316013,7743.33849999237,24625.855787196986,48.165423027427025,-0.11047190171458528,15.299244840277101,0.000294987668128699,35561425.0
mnli,0.0003,13.412128850273593,0.0034135832565683607,0.2249902957183706,3.755251983318764,3139.335324244144,7878.161771048474,20963.79118665394,30.79500719774699,0.19718335216084878,15.299244840277101,0.000294987668128699,35561425.0
mnli,0.0005,7.874584872386668,0.00578340624458884,0.29380686473700873,2.932159944935628,1843.1796122461014,8134.234415599326,17721.53567876576,15.56601961305028,0.20504303461085896,15.299244840277101,0.000294987668128699,35561425.0
mnli,0.0007,5.475177558409817,0.0082122088371262,0.35101111743793184,2.4953959037365303,1281.5577979832872,8363.343985210699,16192.606327983218,9.903104669908908,0.3847962334228536,15.299244840277101,0.000294987668128699,35561425.0
mnli,0.00085,4.404886520047242,0.01006681078904972,0.38920410789233045,2.275037140520064,1031.03810036757,8519.573692116848,15478.176241889141,10.835804576925856,0.5626092294041688,15.299244840277101,0.000294987668128699,35561425.0
mnli,0.001,3.6492247006737815,0.011946870891568364,0.424518954826892,2.106613176334338,854.1626863878341,8668.924755322774,14965.392856551089,7.9255675319211925,0.42641949820088465,15.299244840277101,0.000294987668128699,35561425.0
mnli,0.0012,2.927328012546126,0.014483120094631626,0.46801598402786815,1.933064419511503,685.1905717598288,8850.623144593048,14460.999411481329,8.887881917400502,0.37114506326446633,15.299244840277101,0.000294987668128699,35561425.0
